,Unnamed: 0,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country,genre
2,2,70234439,TV Show,Transformers Prime,United States,"September 8, 2018",2013,TV-Y7-FV,1 Season,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",2018,September,Older Kids,United States,"[""Kids' TV""]"
3,3,80058654,TV Show,Transformers: Robots in Disguise,United States,"September 8, 2018",2016,TV-Y7,1 Season,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",2018,September,Older Kids,United States,"[""Kids' TV""]"
5,5,80163890,TV Show,Apaches,Spain,"September 8, 2017",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,2017,September,Adults,Spain,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']"
8,8,80117902,TV Show,Fire Chasers,United States,"September 8, 2017",2017,TV-MA,1 Season,"Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",2017,September,Adults,United States,"['Docuseries', 'Science & Nature TV']"
26,26,80244601,TV Show,Castle of Stars,United States,"September 7, 2018",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",2018,September,Teens,United States,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
28,28,80190843,TV Show,First and Last,United States,"September 7, 2018",2018,TV-MA,1 Season,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,2018,September,Adults,United States,['Docuseries']
34,34,80221550,TV Show,Archibald's Next Big Thing,United States,"September 6, 2019",2019,TV-Y7,1 Season,"Kids' TV, TV Comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",2019,September,Older Kids,United States,"[""Kids' TV"", 'TV Comedies']"
39,39,80178151,TV Show,The Spy,France,"September 6, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",2019,September,Adults,France,"['International TV Shows', 'TV Dramas', 'TV Thrillers']"
54,54,80113482,TV Show,No Tomorrow,United States,"September 5, 2017",2016,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",2017,September,Teens,United States,"['Romantic TV Shows', 'TV Comedies', 'TV Dramas']"
61,61,80113641,TV Show,Frequency,United States,"September 4, 2017",2016,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",2017,September,Teens,United States,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']"
63,63,80996949,TV Show,Adam Ruins Everything,United States,"September 30, 2018",2018,TV-14,1 Season,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",2018,September,Teens,United States,['TV Comedies']
64,64,80239337,TV Show,Ben 10,United States,"September 30, 2018",2016,TV-Y7,1 Season,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,2018,September,Older Kids,United States,"[""Kids' TV""]"
66,66,81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,United States,"September 30, 2018",2018,TV-MA,1 Season,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",2018,September,Adults,United States,['Docuseries']
67,67,80128317,TV Show,The Eighties,United States,"September 30, 2018",2016,TV-PG,1 Season,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",2018,September,Older Kids,United States,['Docuseries']
68,68,81027384,TV Show,The Nineties,United States,"September 30, 2018",2017,TV-14,1 Season,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,2018,September,Teens,United States,['Docuseries']
69,69,80030186,TV Show,The Seventies,United States,"September 30, 2018",2015,TV-PG,1 Season,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",2018,September,Older Kids,United States,['Docuseries']
70,70,80116921,TV Show,We Bare Bears,United States,"September 30, 2018",2017,TV-Y7,1 Season,"Kids' TV, TV Comedies","Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",2018,September,Older Kids,United States,"[""Kids' TV"", 'TV Comedies']"
72,72,80181555,TV Show,The Royal House of Windsor,United Kingdom,"September 30, 2017",2017,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",2017,September,Teens,United Kingdom,"['British TV Shows', 'Docuseries', 'International TV Shows']"
74,74,80184358,TV Show,Lovesick,United States,"September 3, 2018",2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,2018,September,Teens,United States,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
80,80,80163293,TV Show,Mak Cun,United States,"September 29, 2017",2015,TV-PG,1 Season,"International TV Shows, TV Comedies, TV Dramas",A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,2017,September,Older Kids,United States,"['International TV Shows', 'TV Comedies', 'TV Dramas']"
83,83,80199032,TV Show,Paul Hollywood's Big Continental Road Trip,United Kingdom,"September 29, 2017",2017,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",2017,September,Teens,United Kingdom,"['British TV Shows', 'Docuseries', 'International TV Shows']"
84,84,80180449,TV Show,Satu Hari,United States,"September 29, 2017",2014,TV-14,1 Season,"International TV Shows, TV Dramas","A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",2017,September,Teens,United States,"['International TV Shows', 'TV Dramas']"
93,93,80201933,TV Show,Made in Mexico,United States,"September 28, 2018",2018,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",2018,September,Adults,United States,"['International TV Shows', 'Reality TV', 'Spanish-Language TV Shows']"
99,99,80225885,TV Show,Bard of Blood,India,"September 27, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",2019,September,Adults,India,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']"
101,101,80218107,TV Show,Dragons: Rescue Riders,United States,"September 27, 2019",2019,TV-Y,1 Season,"Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",2019,September,Kids,United States,"[""Kids' TV"", 'TV Comedies']"
103,103,80220715,TV Show,Skylines,United States,"September 27, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,2019,September,Adults,United States,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
105,105,80241248,TV Show,The Politician,United States,"September 27, 2019",2019,TV-14,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,2019,September,Teens,United States,"['TV Comedies', 'TV Dramas', 'Teen TV Shows']"
111,111,81025403,TV Show,The Inmate,Mexico,"September 26, 2019",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.,2019,September,Adults,Mexico,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']"
131,131,80238106,TV Show,Team Kaylie,United States,"September 23, 2019",2019,TV-PG,1 Season,"Kids' TV, TV Comedies","After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.",2019,September,Older Kids,United States,"[""Kids' TV"", 'TV Comedies']"
135,135,81004814,TV Show,BONDING,United States,"September 22, 2019",2019,TV-MA,1 Season,"TV Comedies, TV Dramas",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,2019,September,Adults,United States,"['TV Comedies', 'TV Dramas']"
146,146,81095101,TV Show,Vagabond,South Korea,"September 21, 2019",2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure","When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",2019,September,Adults,South Korea,"['International TV Shows', 'Korean TV Shows', 'TV Action & Adventure']"
147,147,80195173,TV Show,Battlefish,United States,"September 21, 2018",2018,TV-MA,1 Season,"Reality TV, Science & Nature TV, TV Action & Adventure","Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.",2018,September,Adults,United States,"['Reality TV', 'Science & Nature TV', 'TV Action & Adventure']"
148,148,80241960,TV Show,DRAGON PILOT: Hisone & Masotan,Japan,"September 21, 2018",2018,TV-14,1 Season,"Anime Series, International TV Shows",Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,2018,September,Teens,Japan,"['Anime Series', 'International TV Shows']"
149,149,80115346,TV Show,Hilda,"United Kingdom, Canada, United States","September 21, 2018",2018,TV-Y7,1 Season,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",2018,September,Older Kids,United Kingdom,"[""Kids' TV""]"
150,150,80124522,TV Show,Maniac,United States,"September 21, 2018",2018,TV-MA,1 Season,"TV Comedies, TV Dramas, TV Mysteries",Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,2018,September,Adults,United States,"['TV Comedies', 'TV Dramas', 'TV Mysteries']"
153,153,80157073,TV Show,The Good Cop,United States,"September 21, 2018",2018,TV-PG,1 Season,"Crime TV Shows, TV Comedies, TV Dramas","When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",2018,September,Older Kids,United States,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']"
155,155,81020513,TV Show,Criminal: France,United States,"September 20, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",2019,September,Adults,United States,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
