,Unnamed: 0,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country,genre
0,0,81145628,Movie,Norm of the North: King Sized Adventure,"United States, India, South Korea, China","September 9, 2019",2019,TV-PG,90 min,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",2019,September,Older Kids,United States,"['Children & Family Movies', 'Comedies']"
1,1,80117401,Movie,Jandino: Whatever it Takes,United Kingdom,"September 9, 2016",2016,TV-MA,94 min,Stand-Up Comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",2016,September,Adults,United Kingdom,['Stand-Up Comedy']
4,4,80125979,Movie,#realityhigh,United States,"September 8, 2017",2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017,September,Teens,United States,['Comedies']
6,6,70304989,Movie,Automata,"Bulgaria, United States, Spain, Canada","September 8, 2017",2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",2017,September,Adults,Bulgaria,"['International Movies', 'Sci-Fi & Fantasy', 'Thrillers']"
7,7,80164077,Movie,Fabrizio Copano: Solo pienso en mi,Chile,"September 8, 2017",2017,TV-MA,60 min,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",2017,September,Adults,Chile,['Stand-Up Comedy']
9,9,70304990,Movie,Good People,"United States, United Kingdom, Denmark, Sweden","September 8, 2017",2014,R,90 min,"Action & Adventure, Thrillers",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,2017,September,Adults,United States,"['Action & Adventure', 'Thrillers']"
10,10,80169755,Movie,Joaquín Reyes: Una y no más,United States,"September 8, 2017",2017,TV-MA,78 min,Stand-Up Comedy,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",2017,September,Adults,United States,['Stand-Up Comedy']
11,11,70299204,Movie,Kidnapping Mr. Heineken,"Netherlands, Belgium, United Kingdom, United States","September 8, 2017",2015,R,95 min,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",2017,September,Adults,Netherlands,"['Action & Adventure', 'Dramas', 'International Movies']"
12,12,80182480,Movie,Krish Trish and Baltiboy,United States,"September 8, 2017",2009,TV-Y7,58 min,Children & Family Movies,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",2017,September,Older Kids,United States,['Children & Family Movies']
13,13,80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,United States,"September 8, 2017",2013,TV-Y7,62 min,Children & Family Movies,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",2017,September,Older Kids,United States,['Children & Family Movies']
14,14,80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,United States,"September 8, 2017",2016,TV-Y,65 min,Children & Family Movies,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",2017,September,Kids,United States,['Children & Family Movies']
15,15,80182482,Movie,Krish Trish and Baltiboy: Comics of India,United States,"September 8, 2017",2012,TV-Y7,61 min,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",2017,September,Older Kids,United States,['Children & Family Movies']
16,16,80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,United States,"September 8, 2017",2017,TV-Y7,65 min,Children & Family Movies,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",2017,September,Older Kids,United States,['Children & Family Movies']
17,17,80182481,Movie,Krish Trish and Baltiboy: Part II,United States,"September 8, 2017",2010,TV-Y7,58 min,Children & Family Movies,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",2017,September,Older Kids,United States,['Children & Family Movies']
18,18,80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,United States,"September 8, 2017",2013,TV-Y7,60 min,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",2017,September,Older Kids,United States,['Children & Family Movies']
19,19,80057969,Movie,Love,"France, Belgium","September 8, 2017",2015,NR,135 min,"Cult Movies, Dramas, Independent Movies",A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,2017,September,Adults,France,"['Cult Movies', 'Dramas', 'Independent Movies']"
20,20,80060297,Movie,Manhattan Romance,United States,"September 8, 2017",2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,2017,September,Teens,United States,"['Comedies', 'Independent Movies', 'Romantic Movies']"
21,21,80046728,Movie,Moonwalkers,"France, Belgium","September 8, 2017",2015,R,96 min,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",2017,September,Adults,France,"['Action & Adventure', 'Comedies', 'International Movies']"
22,22,80046727,Movie,Rolling Papers,"United States, Uruguay","September 8, 2017",2015,TV-MA,79 min,Documentaries,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",2017,September,Adults,United States,['Documentaries']
23,23,70304988,Movie,Stonehearst Asylum,United States,"September 8, 2017",2014,PG-13,113 min,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",2017,September,Teens,United States,"['Horror Movies', 'Thrillers']"
24,24,80057700,Movie,The Runner,United States,"September 8, 2017",2015,R,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,2017,September,Adults,United States,"['Dramas', 'Independent Movies']"
25,25,80045922,Movie,6 Years,United States,"September 8, 2015",2015,NR,80 min,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",2015,September,Adults,United States,"['Dramas', 'Independent Movies', 'Romantic Movies']"
27,27,80203094,Movie,City of Joy,"United States,","September 7, 2018",2018,TV-MA,77 min,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",2018,September,Adults,United States,['Documentaries']
29,29,70241607,Movie,Laddaland,Thailand,"September 7, 2018",2011,TV-MA,112 min,"Horror Movies, International Movies","When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",2018,September,Adults,Thailand,"['Horror Movies', 'International Movies']"
30,30,80988892,Movie,Next Gen,"China, Canada, United States","September 7, 2018",2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",2018,September,Older Kids,China,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
31,31,80239639,Movie,Sierra Burgess Is A Loser,United States,"September 7, 2018",2018,PG-13,106 min,"Comedies, Romantic Movies",A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,2018,September,Teens,United States,"['Comedies', 'Romantic Movies']"
32,32,80159586,Movie,The Most Assassinated Woman in the World,"Belgium, United Kingdom, United States","September 7, 2018",2018,TV-MA,102 min,"Dramas, International Movies, Thrillers","In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",2018,September,Adults,Belgium,"['Dramas', 'International Movies', 'Thrillers']"
33,33,80152447,Movie,Cézanne et moi,"Belgium, France","September 7, 2017",2016,R,114 min,"Dramas, Independent Movies, International Movies","This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",2017,September,Adults,Belgium,"['Dramas', 'Independent Movies', 'International Movies']"
35,35,81154455,Movie,Article 15,India,"September 6, 2019",2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,2019,September,Adults,India,"['Dramas', 'International Movies', 'Thrillers']"
36,36,81113928,Movie,Care of Kancharapalem,United States,"September 6, 2019",2018,TV-14,142 min,"Comedies, Dramas, Independent Movies","From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",2019,September,Teens,United States,"['Comedies', 'Dramas', 'Independent Movies']"
37,37,81052275,Movie,Ee Nagaraniki Emaindi,India,"September 6, 2019",2018,TV-14,133 min,"Comedies, International Movies","In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",2019,September,Teens,India,"['Comedies', 'International Movies']"
38,38,81132437,Movie,Kill Me If You Dare,United States,"September 6, 2019",2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",2019,September,Teens,United States,"['Comedies', 'International Movies', 'Romantic Movies']"
40,40,80058026,Movie,Hell and Back,United States,"September 6, 2018",2015,R,86 min,"Action & Adventure, Comedies, Independent Movies","When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",2018,September,Adults,United States,"['Action & Adventure', 'Comedies', 'Independent Movies']"
41,41,70303496,Movie,PK,India,"September 6, 2018",2014,TV-14,146 min,"Comedies, Dramas, International Movies",Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,2018,September,Teens,India,"['Comedies', 'Dramas', 'International Movies']"
42,42,80162141,Movie,Hard Tide,United Kingdom,"September 6, 2017",2015,TV-MA,79 min,"Dramas, Independent Movies",A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,2017,September,Adults,United Kingdom,"['Dramas', 'Independent Movies']"
43,43,80095641,Movie,Elstree 1976,United Kingdom,"September 6, 2016",2015,TV-PG,102 min,Documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",2016,September,Older Kids,United Kingdom,['Documentaries']
44,44,81176188,Movie,American Factory: A Conversation with the Obamas,United States,"September 5, 2019",2019,TV-G,10 min,Documentaries,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,2019,September,Kids,United States,['Documentaries']
45,45,80159880,Movie,ATM,"United States, Canada","September 5, 2018",2012,TV-14,122 min,"Comedies, International Movies, Romantic Movies","When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",2018,September,Teens,United States,"['Comedies', 'International Movies', 'Romantic Movies']"
46,46,81016044,Movie,Bangkok Traffic (Love) Story,Thailand,"September 5, 2018",2009,TV-14,126 min,"Comedies, International Movies, Romantic Movies","After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",2018,September,Teens,Thailand,"['Comedies', 'International Movies', 'Romantic Movies']"
47,47,80158838,Movie,I Fine... Thank You... Love You,Thailand,"September 5, 2018",2014,TV-14,116 min,"Comedies, International Movies, Romantic Movies","Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",2018,September,Teens,Thailand,"['Comedies', 'International Movies', 'Romantic Movies']"
48,48,81016045,Movie,One Day,Thailand,"September 5, 2018",2016,TV-PG,135 min,"Dramas, International Movies, Romantic Movies","When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",2018,September,Older Kids,Thailand,"['Dramas', 'International Movies', 'Romantic Movies']"
49,49,70142798,Movie,Phobia 2,Thailand,"September 5, 2018",2009,TV-MA,125 min,"Horror Movies, International Movies","From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",2018,September,Adults,Thailand,"['Horror Movies', 'International Movies']"
