index,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active_case
155534,155535,11/15/2020,Unknown,Afghanistan,2020/11/16 05:25,43240,1617,35092,6531
155535,155536,11/15/2020,Unknown,Albania,2020/11/16 05:25,27830,623,12889,14318
155536,155537,11/15/2020,Unknown,Algeria,2020/11/16 05:25,67679,2154,44633,20892
155537,155538,11/15/2020,Unknown,Andorra,2020/11/16 05:25,5872,76,4747,1049
155538,155539,11/15/2020,Unknown,Angola,2020/11/16 05:25,13451,322,6444,6685
155539,155540,11/15/2020,Unknown,Antigua and Barbuda,2020/11/16 05:25,134,4,127,3
155540,155541,11/15/2020,Unknown,Argentina,2020/11/16 05:25,1310491,35436,1129102,145953
155541,155542,11/15/2020,Unknown,Armenia,2020/11/16 05:25,117337,1763,74984,40590
155542,155543,11/15/2020,Unknown,Austria,2020/11/16 05:25,203956,1829,125674,76453
155543,155544,11/15/2020,Unknown,Azerbaijan,2020/11/16 05:25,75688,967,55150,19571
155544,155545,11/15/2020,Unknown,Bahamas,2020/11/16 05:25,7186,156,5323,1707
155545,155546,11/15/2020,Unknown,Bahrain,2020/11/16 05:25,84703,334,82469,1900
155546,155547,11/15/2020,Unknown,Bangladesh,2020/11/16 05:25,432333,6194,349542,76597
155547,155548,11/15/2020,Unknown,Barbados,2020/11/16 05:25,250,7,238,5
155548,155549,11/15/2020,Unknown,Belarus,2020/11/16 05:25,114185,1046,95843,17296
155549,155550,11/15/2020,Unknown,Belize,2020/11/16 05:25,4861,90,2598,2173
155550,155551,11/15/2020,Unknown,Benin,2020/11/16 05:25,2844,43,2515,286
155551,155552,11/15/2020,Unknown,Bhutan,2020/11/16 05:25,375,0,355,20
155552,155553,11/15/2020,Unknown,Bolivia,2020/11/16 05:25,143246,8849,117137,17260
155553,155554,11/15/2020,Unknown,Bosnia and Herzegovina,2020/11/16 05:25,71956,1889,35606,34461
155554,155555,11/15/2020,Unknown,Botswana,2020/11/16 05:25,8225,27,5559,2639
155555,155556,11/15/2020,Unknown,Brunei,2020/11/16 05:25,148,3,145,0
155556,155557,11/15/2020,Unknown,Bulgaria,2020/11/16 05:25,98251,2130,29375,66746
155557,155558,11/15/2020,Unknown,Burkina Faso,2020/11/16 05:25,2641,68,2445,128
155558,155559,11/15/2020,Unknown,Burma,2020/11/16 05:25,68994,1577,52351,15066
155559,155560,11/15/2020,Unknown,Burundi,2020/11/16 05:25,628,1,549,78
155560,155561,11/15/2020,Unknown,Cabo Verde,2020/11/16 05:25,9822,103,9220,499
155561,155562,11/15/2020,Unknown,Cambodia,2020/11/16 05:25,302,0,289,13
155562,155563,11/15/2020,Unknown,Cameroon,2020/11/16 05:25,22692,433,21510,749
155563,155564,11/15/2020,Unknown,Central African Republic,2020/11/16 05:25,4900,63,1924,2913
155564,155565,11/15/2020,Unknown,Chad,2020/11/16 05:25,1597,101,1443,53
155565,155566,11/15/2020,Unknown,Comoros,2020/11/16 05:25,579,7,549,23
155566,155567,11/15/2020,Unknown,Congo (Brazzaville),2020/11/16 05:25,5515,92,3887,1536
155567,155568,11/15/2020,Unknown,Congo (Kinshasa),2020/11/16 05:25,11760,319,11086,355
155568,155569,11/15/2020,Unknown,Costa Rica,2020/11/16 05:25,123223,1546,75341,46336
155569,155570,11/15/2020,Unknown,Croatia,2020/11/16 05:25,84206,1049,66231,16926
155570,155571,11/15/2020,Unknown,Cuba,2020/11/16 05:25,7590,131,7060,399
155571,155572,11/15/2020,Unknown,Cyprus,2020/11/16 05:25,7178,39,2021,5118
155572,155573,11/15/2020,Unknown,Czech Republic,2020/11/16 05:25,460116,6208,327306,126602
155573,155574,11/15/2020,Unknown,Denmark,2020/11/16 05:25,62136,760,47747,13629
155574,155575,11/15/2020,Unknown,Diamond Princess,2020/11/16 05:25,712,13,659,40
155575,155576,11/15/2020,Unknown,Djibouti,2020/11/16 05:25,5649,61,5525,63
155576,155577,11/15/2020,Unknown,Dominica,2020/11/16 05:25,68,0,41,27
155577,155578,11/15/2020,Unknown,Dominican Republic,2020/11/16 05:25,133724,2285,109981,21458
155578,155579,11/15/2020,Unknown,Ecuador,2020/11/16 05:25,180295,13008,160639,6648
155579,155580,11/15/2020,Unknown,Egypt,2020/11/16 05:25,110767,6453,101046,3268
155580,155581,11/15/2020,Unknown,El Salvador,2020/11/16 05:25,36358,1044,32721,2593
155581,155582,11/15/2020,Unknown,Equatorial Guinea,2020/11/16 05:25,5104,85,4973,46
155582,155583,11/15/2020,Unknown,Eritrea,2020/11/16 05:25,493,0,444,49
155583,155584,11/15/2020,Unknown,Estonia,2020/11/16 05:25,7637,81,4741,2815
155584,155585,11/15/2020,Unknown,Eswatini,2020/11/16 05:25,6095,119,5779,197
155585,155586,11/15/2020,Unknown,Ethiopia,2020/11/16 05:25,102720,1569,63866,37285
155586,155587,11/15/2020,Unknown,Fiji,2020/11/16 05:25,35,2,32,1
155587,155588,11/15/2020,Unknown,Finland,2020/11/16 05:25,19315,369,14000,4946
155588,155589,11/15/2020,Unknown,France,2020/11/16 05:25,1867721,42215,113017,1712489
155589,155590,11/15/2020,Unknown,Gabon,2020/11/16 05:25,9062,58,8939,65
155590,155591,11/15/2020,Unknown,Gambia,2020/11/16 05:25,3702,122,3571,9
155591,155592,11/15/2020,Unknown,Georgia,2020/11/16 05:25,79678,703,62061,16914
155592,155593,11/15/2020,Unknown,Ghana,2020/11/16 05:25,50123,322,48328,1473
155593,155594,11/15/2020,Unknown,Greece,2020/11/16 05:25,74205,1106,23074,50025
155594,155595,11/15/2020,Unknown,Grenada,2020/11/16 05:25,32,0,27,5
155595,155596,11/15/2020,Unknown,Guatemala,2020/11/16 05:25,114885,3932,104438,6515
155596,155597,11/15/2020,Unknown,Guinea,2020/11/16 05:25,12611,75,11151,1385
